player_id,team_id,player_name,team,position,assists_x,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,assists_y,total_competition_minutes_played,fdcp_top_scorer_rank
331135,285023_43976,Paul Izzo,Australia,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
331149,285023_43976,Milos Degenek,Australia,DF,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
331463,285023_43978,Tim Payne,New Zealand,DF,1,0,1,0,0,1,0,0.02,0x,3,0,5,57,9,2,2,0,0,0,0,87,83,9,11,3,0,0,0,,,,31,10,12,9,5,26,2,11,41,191,6.23,309,105,25040.85,,,,,,,,0.0,1.0,241.0,216.0
331732,285023_43899,Maxime Crepeau,Canada,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,1,1,0,0,0,0,123,75,0,0,2,0,1,0,7.0,49.0,40.0,14,0,0,14,9,5,0,0,6,237,3.3,90,16,28143.54,,,,,,,Round of 16,0.0,0.0,511.0,1278.0
332314,285023_43879,Idrissa Gana Gueye,Senegal,MF,0,1,5,0,0,5,0,0.12,0x,0,0,24,91,23,2,2,0,0,0,0,270,90,1,0,8,63,5,100,,,,142,6,54,82,103,39,2,11,86,578,5.81,449,140,39822.15,,,,,,,,0.0,0.0,411.0,1230.0
332847,285023_43922,Leandro Paredes,Argentina,MF,0,1,1,0,0,1,0,0.02,0x,1,0,4,17,3,1,0,1,0,0,0,215,94,2,50,4,50,2,100,,,,97,1,18,78,68,29,0,5,20,441,4.91,186,41,17335.08,,,,,,,,0.0,0.0,167.0,932.0
332897,285023_43930,Rodrigo Aguirre,Uruguay,FW,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,2,1,1,0,1,1,0,1,1,2,2.15,12,4,898.68,,,,,,,,0.0,0.0,8.0,523.0
332946,285023_43924,Marquinhos,Brazil,DF,0,0,2,0,2,0,1,0.21,0x,0,0,11,45,12,0,2,0,0,0,1,380,97,1,100,4,75,6,100,,,,59,3,2,54,32,27,0,3,30,785,5.68,453,141,49331.59,333.0,61.0,320.0,4.34244966506958,6.201564788818359,5.101626873016357,Round of 16,0.0,0.0,520.0,1286.0
335656,285023_43924,Danilo,Brazil,DF,0,0,1,0,1,0,0,0.04,0x,0,0,3,50,8,7,1,2,0,0,1,294,89,7,29,6,50,1,100,,,,198,45,41,112,35,163,4,21,44,604,5.68,495,217,44689.09,313.0,97.0,248.0,4.440802574157715,5.906980991363525,5.422268390655518,Round of 16,0.0,0.0,471.0,1269.0
335658,285023_43924,Alex Sandro,Brazil,DF,0,0,0,0,0,0,0,0.0,0x,0,0,0,4,2,1,0,0,0,0,0,13,100,0,0,0,0,0,0,,,,6,2,2,2,1,5,0,2,2,25,1.45,31,8,1822.47,,,,,,,,0.0,0.0,15.0,555.0
