player_id,team_id,player_name,team,position,assists,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,source_tab,story_id,classification,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,total_competition_minutes_played,fdcp_top_scorer_rank
493970,285023_43899,Promise David,Canada,FW,1.0,3.0,5.0,20.0,3.0,2.0,1.0,0.75,1.34x,0.0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430831,285023_43854,Ibrahim Sangare,Côte d'Ivoire,MF,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0x,0.0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486213,285023_43860,Brandon Thomas Asante,Ghana,FW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x,0.0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494313,285023_43850,Yannick Semedo,Cabo Verde,MF,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.01,0x,2.0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464842,285023_43879,Lamine Camara,Senegal,MF,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.14,0x,5.0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407022,285023_43855,Karim Hafez,Egypt,DF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x,0.0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483161,285023_43855,Mostafa Zico,Egypt,MF,1.0,2.0,7.0,14.0,6.0,1.0,2.0,0.61,1.63x,0.0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448607,285023_43872,Chadi Riad,Morocco,DF,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12,0x,0.0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363863,285023_43855,Trezeguet,Egypt,FW,1.0,3.0,6.0,17.0,4.0,2.0,2.0,0.58,1.73x,0.0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430690,285023_43879,Moussa Niakhate,Senegal,DF,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.06,0x,0.0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
