player_id,team_id,player_name,team,position,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,source_tab,story_id,classification
402920,285023_43922,Lautaro Martinez,Argentina,FW,5,2,0,0,0,2,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
418715,285023_43914,Jose Cordoba,Panama,DF,5,1,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
447860,285023_43969,Alex Baena,Spain,MF,5,0,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
442434,285023_43967,Lewis Ferguson,Scotland,MF,5,10,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
479042,285023_44005,Abdulla Abdullaev,Uzbekistan,DF,5,1,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
376230,285023_44037,Sead Kolasinac,Bosnia and Herzegovina,DF,5,4,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
483276,285023_43970,Gabriel Gudmundsson,Sweden,DF,5,7,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
372436,285023_44037,Ivan Sunjic,Bosnia and Herzegovina,MF,5,0,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
484045,285023_43967,Lawrence Shankland,Scotland,FW,5,3,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
489688,285023_43970,Yasin Ayari,Sweden,MF,4,8,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
486306,285023_43976,Nestory Irankunda,Australia,FW,4,3,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
390196,285023_43978,Callum Mccowatt,New Zealand,MF,4,1,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
484022,285023_44037,Tarik Muharemovic,Bosnia and Herzegovina,DF,4,1,0,1,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
411375,285023_43969,Rodri,Spain,MF,4,1,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
433191,285023_43967,Che Adams,Scotland,FW,4,2,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
483327,285023_43970,Viktor Gyokeres,Sweden,FW,4,7,1,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
430150,285023_43970,Alexander Isak,Sweden,FW,4,1,0,0,0,5,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
484139,285023_43972,Baris Alper Yilmaz,Türkiye,FW,4,1,0,0,0,2,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
402021,285023_43971,Remo Freuler,Switzerland,MF,4,2,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
448131,285023_43971,Ruben Vargas,Switzerland,FW,4,4,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
423595,285023_43978,Marko Stamenic,New Zealand,MF,4,0,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
430442,285023_43976,Harry Souttar,Australia,DF,4,1,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
472908,285023_43995,Vladimir Coufal,Czechia,DF,4,3,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:2
433754,285023_43995,Adam Hlozek,Czechia,FW,4,4,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
482976,285023_44037,Amar Dedic,Bosnia and Herzegovina,DF,4,3,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
463580,285023_43978,Finn Surman,New Zealand,DF,4,1,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
448014,285023_43976,Alessandro Circati,Australia,DF,4,2,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
371958,285023_43899,Derek Cornelius,Canada,DF,4,3,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
395050,285023_43883,Aubrey Modiba,South Africa,DF,4,6,1,0,0,2,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
441252,285023_43899,Alistair Johnston,Canada,DF,4,4,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
433362,285023_43888,Ali Abdi,Tunisia,DF,4,2,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
463234,285023_43883,Thapelo Maseko,South Africa,FW,4,10,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
433469,285023_43855,Mohanad Lashin,Egypt,MF,4,3,2,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
463218,285023_43883,Khuliso Mudau,South Africa,DF,4,10,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
400721,285023_43872,Achraf Hakimi,Morocco,DF,4,12,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
419189,285023_43888,Yan Valery,Tunisia,DF,4,1,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
494248,285023_43883,Thalente Mbatha,South Africa,MF,4,0,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
430697,285023_43908,Jean Ricner Bellegarde,Haiti,MF,4,5,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
483161,285023_43855,Mostafa Zico,Egypt,MF,4,4,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
433378,285023_43888,Hannibal Mejbri,Tunisia,MF,4,15,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
431698,285023_1895293,Jurien Gaari,Curaçao,DF,4,1,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
494989,285023_1895293,Livano Comenencia,Curaçao,MF,4,1,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
504990,285023_44037,Kerim Alajbegovic,Bosnia and Herzegovina,FW,4,5,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
396950,285023_43820,Mahmoud Almardi,Jordan,FW,4,2,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
479294,285023_43819,Kaishu Sano,Japan,MF,4,1,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
424119,285023_20014,Nathanael Mbuku,Congo DR,MF,4,5,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
346743,285023_43817,Shoja Khalilzadeh,IR Iran,DF,4,0,1,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
419441,285023_43834,Homam Ahmed,Qatar,DF,4,0,0,1,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
429063,285023_43834,Edmilson Junior,Qatar,FW,4,2,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
419281,285023_43835,Saud Abdulhamid,Saudi Arabia,DF,4,2,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
431225,285023_43820,Yazan Alarab,Jordan,DF,4,0,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
431858,285023_43843,Rayan Ait Nouri,Algeria,DF,4,3,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
431200,285023_43926,Daniel Munoz,Colombia,DF,4,1,0,0,0,2,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
441240,285023_43914,Andres Andrade,Panama,DF,4,0,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
441622,285023_43926,Jhon Lucumi,Colombia,DF,4,0,1,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
419082,285023_43921,Ricardo Pepi,USA,FW,4,2,0,0,0,1,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
470760,285023_43926,Jhon Arias,Colombia,MF,4,2,0,0,0,0,discipline,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3,urn:gd:story:classification:gcp_discipline:competitionId:285023:fouls_against:rank_asc:page:3
