player_id,team_id,player_name,team,position,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,total_competition_minutes_played,fdcp_top_scorer_rank,assists,is_active
332847,285023_43922,Leandro Paredes,Argentina,MF,1,1,0,0,1,0,0.02,0.0,1,0,4,17,3,1,0,1,0,0,0,215,94,2,50,4,50,2,100,,,,97,1,18,78,68,29,0,5,20,441,4.91,186,41,17335.08,,,,,,,,0.0,167.0,930.0,0.0,False
430631,285023_43922,Nico Gonzalez,Argentina,MF,0,4,0,4,0,3,0.36,0.0,0,0,7,38,3,1,2,0,0,0,0,47,77,3,0,5,60,0,0,,,,44,33,9,2,28,16,16,26,32,120,4.48,137,69,14373.63,,,,,,,,0.0,145.0,197.0,1.0,False
428882,285023_43922,Rodrigo De Paul,Argentina,MF,0,0,0,0,0,0,0.0,0.0,1,0,5,74,12,1,1,0,0,0,0,180,92,5,40,5,60,0,0,,,,176,19,83,74,80,96,2,24,60,387,4.41,248,126,27095.94,301.0,305.0,63.0,4.481345653533936,4.914112091064453,6.294098854064941,,0.0,275.0,221.0,1.0,True
463661,285023_43922,Valentin Barco,Argentina,MF,0,0,0,0,0,0,0.0,0.0,0,0,0,7,2,0,1,0,0,0,0,20,85,0,0,1,100,0,0,,,,19,4,14,1,9,10,0,14,8,41,1.71,41,14,2814.61,,,,,,,,0.0,24.0,594.0,0.0,False
448014,285023_43976,Alessandro Circati,Australia,DF,0,3,0,2,1,2,0.13,0.0,0,0,12,48,28,5,4,1,0,0,0,221,80,1,0,10,60,4,75,,,,55,4,10,41,16,39,0,9,63,448,6.09,424,142,44568.44,273.0,21.0,147.0,4.5484395027160645,6.81116247177124,5.849121570587158,,0.0,438.0,1264.0,0.0,True
349342,285023_43976,Aziz Behich,Australia,DF,1,1,0,1,0,0,0.02,0.0,0,0,9,55,7,1,4,0,0,0,0,82,73,6,17,1,0,1,100,,,,69,24,30,15,8,61,4,17,45,178,5.04,341,105,26853.33,,,,,,,,0.0,245.0,1040.0,0.0,False
382312,285023_43976,Cameron Burgess,Australia,DF,0,0,0,0,0,0,0.0,0.0,0,1,2,14,9,0,0,0,0,0,0,56,80,0,0,2,50,1,0,,,,9,0,1,8,3,6,0,0,20,113,2.9,147,33,15035.64,,,,,,,,0.0,152.0,902.0,0.0,False
430442,285023_43976,Harry Souttar,Australia,DF,1,1,0,1,0,1,0.05,0.0,0,0,4,18,6,8,1,1,0,0,0,199,86,0,0,8,38,3,33,,,,32,3,2,27,20,12,0,6,46,409,5.87,370,82,43035.91,285.0,60.0,257.0,4.521350860595703,6.307667255401611,5.363766193389893,,0.0,438.0,1265.0,0.0,True
430450,285023_43976,Jacob Italiano,Australia,DF,0,1,0,0,1,0,0.03,0.0,0,0,6,83,14,0,0,1,0,0,0,43,77,9,33,2,50,2,100,,,,44,19,22,3,17,27,3,25,24,116,3.45,279,121,20985.37,,,,,,,,0.0,183.0,959.0,0.0,False
339112,285023_43976,Jason Geria,Australia,DF,0,0,0,0,0,0,0.0,0.0,0,0,1,21,3,2,0,0,0,0,0,23,78,1,0,0,0,0,0,,,,3,1,0,2,1,2,0,2,5,46,3.24,78,29,7925.03,,,,,,,,0.0,75.0,740.0,0.0,False
423522,285023_43976,Jordan Bos,Australia,DF,2,5,0,3,2,0,0.42,0.0,0,0,23,84,21,4,4,1,0,0,0,107,88,8,38,8,38,1,100,,,,76,27,37,12,26,50,7,41,93,286,6.41,396,223,36920.34,,,,,,,,0.0,343.0,1191.0,0.0,False
494411,285023_43976,Kai Trewin,Australia,DF,0,1,0,0,1,0,0.0,0.0,0,0,7,22,4,0,1,0,0,0,0,31,87,2,0,1,0,0,0,,,,18,3,10,5,2,16,2,7,14,73,1.6,98,41,8815.94,,,,,,,,0.0,81.0,754.0,0.0,False
504931,285023_43976,Lucas Herrington,Australia,DF,0,0,0,0,0,0,0.0,0.0,0,0,4,11,4,2,0,0,0,0,0,106,95,0,0,0,0,0,0,,,,34,0,0,34,7,27,0,3,41,232,2.98,210,41,23286.35,,,,,,,,0.0,232.0,1027.0,0.0,False
331149,285023_43976,Milos Degenek,Australia,DF,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,261.0,0.0,False
404319,285023_43976,Ajdin Hrustic,Australia,FW,0,3,0,2,1,0,0.11,0.0,1,0,5,40,2,1,0,0,0,0,0,31,87,5,40,0,0,0,0,,,,51,14,32,5,27,24,2,15,30,80,3.74,183,58,11460.39,,,,,,,,0.0,90.0,777.0,0.0,False
406606,285023_43976,Awer Mabil,Australia,FW,0,1,0,0,1,0,0.03,0.0,0,0,1,20,0,0,1,0,0,0,0,8,63,1,0,0,0,0,0,,,,17,7,9,1,10,7,0,3,4,20,1.75,55,20,3742.93,,,,,,,,0.0,31.0,617.0,0.0,False
448015,285023_43976,Cristian Volpato,Australia,FW,1,4,0,2,2,0,0.28,0.0,7,0,11,64,4,1,2,0,0,0,0,66,79,13,23,9,56,0,0,,,,75,17,52,6,43,32,1,58,70,188,5.16,322,94,20702.13,102.0,287.0,7.0,5.310310363769531,5.022198677062988,7.174224853515625,,0.0,180.0,951.0,0.0,True
321697,285023_43976,Mathew Leckie,Australia,FW,0,1,0,1,0,0,0.1,0.0,0,0,2,30,4,1,1,0,0,0,0,10,70,1,0,0,0,0,0,,,,7,3,3,1,6,1,1,9,14,33,1.64,100,31,7358.47,,,,,,,,0.0,67.0,721.0,0.0,False
498806,285023_43976,Mohamed Toure,Australia,FW,1,4,0,4,0,1,0.26,0.0,0,0,3,86,5,4,2,0,0,0,1,16,75,2,0,2,50,0,0,,,,25,18,7,0,16,9,6,17,25,53,4.76,217,79,19508.03,,,,,,,,0.0,182.0,958.0,0.0,False
486306,285023_43976,Nestory Irankunda,Australia,FW,3,6,17,4,2,1,0.81,1.23,0,0,13,116,3,4,5,0,0,0,0,44,73,1,0,1,100,1,0,,,,55,34,20,1,36,19,6,43,51,124,5.66,263,129,27279.0,73.0,300.0,294.0,5.588837623596191,4.942816257476807,5.164575099945068,,1.0,285.0,133.0,0.0,True
491166,285023_43976,Nishan Velupillay,Australia,FW,0,0,0,0,0,0,0.0,0.0,0,0,1,57,4,1,0,0,0,0,0,12,50,0,0,0,0,0,0,,,,12,5,6,1,8,4,0,6,10,35,3.37,140,53,9830.13,,,,,,,,0.0,88.0,767.0,0.0,False
518200,285023_43976,Tete Yengi,Australia,FW,1,1,0,1,0,0,0.1,0.0,0,0,1,17,2,3,0,0,0,0,0,5,60,1,0,2,0,0,0,,,,11,6,5,0,6,5,2,8,8,17,3.74,59,20,4138.21,,,,,,,,0.0,33.0,629.0,0.0,False
339117,285023_43976,Mathew Ryan,Australia,GK,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.95,2,0,206.87,,,,,,,,0.0,2.0,507.0,0.0,False
494557,285023_43976,Patrick Beach,Australia,GK,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,122,65,0,0,3,0,0,0,14.0,91.0,76.0,16,0,0,16,8,8,0,0,1,208,2.62,23,5,19047.75,,,,,,,,0.0,435.0,1263.0,0.0,False
331135,285023_43976,Paul Izzo,Australia,GK,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,261.0,0.0,False
430440,285023_43976,Aiden Oneill,Australia,MF,0,2,0,1,1,0,0.07,0.0,4,0,25,105,15,2,8,0,0,0,0,172,83,8,50,12,42,3,33,,,,138,6,61,71,103,35,1,23,103,388,6.97,648,186,47323.13,,,,,,,,0.0,406.0,1234.0,0.0,False
430437,285023_43976,Cameron Devlin,Australia,MF,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,261.0,0.0,False
430452,285023_43976,Connor Metcalfe,Australia,MF,2,5,20,1,4,0,0.11,9.21,3,0,28,180,11,1,0,0,0,0,0,80,81,8,13,7,71,1,0,,,,140,34,89,17,80,60,2,37,64,199,6.49,513,175,38524.77,,,,,,,,1.0,354.0,151.0,0.0,False
355775,285023_43976,Jackson Irvine,Australia,MF,1,3,0,3,0,1,0.21,0.0,0,0,7,80,11,3,3,1,0,0,0,124,83,2,50,2,0,2,100,,,,100,19,43,38,69,31,2,25,67,279,7.47,495,125,31483.15,,,,,,,,0.0,255.0,1047.0,0.0,False
