player_id,team_id,player_name,team,position,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,source_tab,story_id,classification
429095,285023_43855,Hamdy Fathy,Egypt,MF,66,92,1,0,3,0,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:1,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:1
430690,285023_43879,Moussa Niakhate,Senegal,DF,212,92,2,50,0,0,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:1,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:1
466838,285023_43908,Danley Jean Jacques,Haiti,MF,116,88,2,0,1,0,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
463221,285023_43883,Nkosinathi Sibisi,South Africa,DF,52,81,0,0,1,100,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
339820,285023_43879,Kalidou Koulibaly,Senegal,DF,83,88,0,0,1,0,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
504199,285023_43883,Mbekezeli Mbokazi,South Africa,DF,213,87,2,0,7,57,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
477852,285023_43850,Kevin Pina,Cabo Verde,MF,101,83,1,0,1,0,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
344661,285023_43855,Ramy Rabia,Egypt,DF,135,93,0,0,1,100,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
489300,285023_43908,Martin Experience,Haiti,DF,111,84,6,0,6,33,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
395986,285023_43883,Ronwen Williams,South Africa,GK,237,76,0,0,7,29,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
430476,285023_43855,Omar Marmoush,Egypt,FW,46,87,3,0,9,67,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
419108,285023_43930,Sebastian Caceres,Uruguay,DF,172,90,1,0,4,50,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
486875,285023_43928,Gustavo Velazquez,Paraguay,DF,65,80,2,0,2,0,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
400634,285023_43911,Edson Alvarez,Mexico,DF,126,88,1,100,3,0,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
448252,285023_43922,Enzo Fernandez,Argentina,MF,139,92,1,0,4,75,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
339510,285023_43921,Tim Ream,USA,DF,161,94,0,0,5,20,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
402893,285023_43930,Mathias Olivera,Uruguay,DF,226,94,3,0,6,50,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
430605,285023_43924,Bruno Guimaraes,Brazil,MF,173,80,10,20,14,36,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
229397,285023_43922,Lionel Messi,Argentina,FW,101,75,7,43,7,86,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
386013,285023_43926,Davinson Sanchez,Colombia,DF,205,91,0,0,3,0,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
477770,285023_43850,Pico Lopes,Cabo Verde,DF,129,83,0,0,5,20,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
385067,285023_43834,Boualem Khoukhi,Qatar,DF,117,80,1,0,8,25,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
448557,285023_43819,Daichi Kamada,Japan,MF,200,85,4,50,6,50,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
386347,285023_43834,Akram Afif,Qatar,FW,93,78,12,33,12,42,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
407993,285023_43835,Mohamed Kanno,Saudi Arabia,MF,104,93,1,0,6,67,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
390534,285023_43817,Hossein Kanani,IR Iran,DF,34,97,0,0,0,0,3,67,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
433076,285023_20014,Samuel Moutoussamy,Congo DR,MF,108,81,1,100,6,17,3,100,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
396158,285023_43818,Rebin Sulaka,Iraq,DF,29,79,0,0,0,0,3,33,distribution,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2,urn:gd:story:classification:gcp_distribution:competitionId:285023:attempted_switches_of_play:rank_asc:page:2
