player_id,team_id,player_name,team,position,assists_x,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,goals,assists_y,total_competition_minutes_played,fdcp_top_scorer_rank
448390,285023_43899,Mathieu Choiniere,Canada,MF,0,0,0,0,0,0,0,0.0,0x,1,0,2,19,2,1,1,0,0,0,0,29,79,4,50,2,50,1,100,,,,19.0,0.0,7.0,12.0,12.0,7.0,0.0,5.0,10.0,63.0,2.46,132.0,43.0,7597.41,0.0,0.0,61.0,721.0
448402,285023_43899,Joel Waterman,Canada,DF,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
448411,285023_43899,Jacob Shaffelburg,Canada,MF,0,0,3,0,2,1,0,0.09,0x,0,0,4,12,4,0,0,0,0,0,0,31,90,9,22,6,50,0,0,,,,40.0,14.0,18.0,8.0,8.0,32.0,4.0,16.0,10.0,95.0,7.73,126.0,66.0,9824.74,0.0,0.0,78.0,767.0
448420,285023_43924,Luiz Henrique,Brazil,FW,0,0,0,0,0,0,0,0.0,0x,0,0,2,10,3,0,1,0,0,0,0,12,100,0,0,3,100,0,0,,,,3.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,6.0,27.0,2.0,60.0,26.0,3896.86,0.0,0.0,38.0,646.0
448497,285023_43817,Mohammad Mohebbi,IR Iran,MF,0,1,2,50,2,0,1,0.24,4.15x,0,0,4,83,9,0,1,0,0,0,0,39,69,0,0,2,50,1,0,,,,68.0,35.0,25.0,8.0,25.0,43.0,2.0,24.0,32.0,92.0,6.8,287.0,109.0,19709.48,1.0,0.0,175.0,97.0
448505,285023_43817,Saleh Hardani,IR Iran,DF,0,0,0,0,0,0,0,0.0,0x,0,0,3,28,4,0,1,0,0,0,0,6,33,0,0,0,0,0,0,,,,5.0,2.0,3.0,0.0,0.0,5.0,0.0,2.0,3.0,15.0,2.87,50.0,17.0,5086.11,0.0,0.0,53.0,701.0
448507,285023_43817,Payam Niazmand,IR Iran,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
448522,285023_43860,Alidu Seidu,Ghana,DF,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
448523,285023_43860,Kamaldeen Sulemana,Ghana,FW,0,0,0,0,0,0,0,0.0,0x,0,0,0,31,6,1,1,0,0,0,1,12,83,1,100,3,67,1,100,,,,27.0,7.0,17.0,3.0,10.0,17.0,1.0,3.0,8.0,33.0,3.34,87.0,31.0,6979.74,0.0,0.0,62.0,727.0
448525,285023_43860,Ernest Nuamah,Ghana,FW,0,0,0,0,0,0,0,0.0,0x,0,0,1,41,5,0,1,0,0,0,0,13,69,0,0,1,0,1,100,,,,18.0,7.0,8.0,3.0,9.0,9.0,2.0,5.0,16.0,37.0,3.37,81.0,32.0,7062.49,0.0,0.0,62.0,726.0
