player_id,team_id,player_name,team,position,avg_speed,speed_runs,sprints,total_distance,source_tab,story_id,classification
336641,285023_43978,Ryan Thomas,New Zealand,MF,7.16,106,37,6302.61,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
433076,285023_20014,Samuel Moutoussamy,Congo DR,MF,7.15,307,83,22300.63,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
401470,285023_43942,Marcus Rashford,England,FW,7.14,65,29,4556.71,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
485066,285023_43938,Petar Sucic,Croatia,MF,7.14,229,74,15057.71,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
433635,285023_43899,Stephen Eustaquio,Canada,MF,7.13,470,113,28040.39,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
483442,285023_43961,Patrick Berg,Norway,MF,7.12,139,41,19968.79,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
400716,285023_43961,Martin Odegaard,Norway,MF,7.12,330,125,22635.9,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
372436,285023_44037,Ivan Sunjic,Bosnia and Herzegovina,MF,7.12,290,76,19237.65,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
433787,285023_43967,Scott Mctominay,Scotland,MF,7.12,483,135,36353.67,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
411367,285023_43948,Kai Havertz,Germany,FW,7.11,422,147,30282.89,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
430605,285023_43924,Bruno Guimaraes,Brazil,MF,7.11,430,91,32353.12,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
395212,285023_43963,Nelson Semedo,Portugal,DF,7.11,118,44,8446.65,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
483966,285023_44037,Benjamin Tahirovic,Bosnia and Herzegovina,MF,7.05,355,98,25270.96,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
